Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Bogra,August,1,65.43986780708701,29.33701264252028,83.45905966665254,34.91786438650335,138.14890707501172,6.148725648203028,Aman
Rajshahi,July,1,50.608419774228565,29.9949255147179,81.71211645559916,34.91376022075142,133.15254967149593,6.7266855754358685,Aman
Bogra,August,1,64.25621583251214,29.31299038745243,83.45677507270351,34.85033725726282,138.34875661744474,6.349758412056212,Aman
Dinajpur,June,4,94.77013880835439,29.227208121343804,82.7598210721389,30.949354098815945,123.0752329667276,3.5807845680026995,Aman
Khulna,August,3,77.40009515157712,29.12893873342918,85.61188378935489,30.81911112750953,171.7956129488001,6.336945827629735,Aman
Dinajpur,June,4,96.63088925022663,29.201987386428083,82.95788295974587,31.190555303689877,122.75733352680074,3.491510799335677,Aman
Bogra,August,1,63.716165155352,29.266111726991536,83.3069814582446,35.304703741200605,134.84353981236268,6.446195152243129,Aman
Bogra,August,1,66.19722417588653,29.27151486162187,83.45655785722275,35.09980363150189,140.77197316488363,6.350368769716561,Aman
Rajshahi,July,1,51.03367813870967,29.995221605217726,81.70923916350235,35.080475769386275,130.7778503640243,6.643440362110664,Aman
Khulna,August,3,74.00366253033192,29.15458318086478,85.62682838801501,30.897827310108703,171.49880704870483,6.329704945337898,Aman
Khulna,August,3,75.75210718873092,29.079536955716115,85.50217694416986,30.925807766895662,170.56716804873417,6.5918223780597005,Aman
Bogra,August,1,66.7636461726507,29.38678088239634,83.67155346460927,34.85562545491177,133.9601988598674,6.2862778695816015,Aman
Dinajpur,June,4,96.76467495707429,29.25922184322023,83.22212252193715,30.928463180976053,120.84905271774285,3.8739692618787367,Aman
Jashore,August,2,53.27457410550579,29.489882670453426,84.23107178102217,32.5245414279419,171.95493129623617,4.216414650471111,Aman
Dhaka,July,2,72.725679018094,29.147751435722512,82.94712317155489,31.84370038578661,160.60673509419746,5.840268115073224,Aman
Rajshahi,July,1,52.835457021814626,30.03843469803386,81.68824367662512,35.058558348931115,133.4922362546329,6.652393858340962,Aman
Bogra,August,1,63.51898725241186,29.26077079697983,83.65222076539622,35.24032458663614,139.73007724043737,6.514530935556273,Aman
Jashore,August,2,58.092774940865475,29.553473629609876,84.37163523898238,32.689577542694046,172.80540237189595,4.295556074030748,Aman
Faridpur,July,4,87.34530648780515,28.963933825567356,85.27170462489649,32.16564629548475,180.18075459768482,5.736178800597075,Aman
Bogra,August,1,62.73840471353076,29.327092600421157,83.44786036664152,35.17211943926145,136.36322127598237,6.26638625952675,Aman
Jashore,August,2,56.244362939176966,29.500172625374514,84.26631194673493,32.57723045822251,172.59205596427324,4.404954559326199,Aman
Faridpur,July,4,85.8644618645184,28.968686270018157,85.43360032342949,32.168072577023246,179.65166281925286,5.627606493824459,Aman
Khulna,August,3,77.43637782363407,29.085214301321074,85.46614078214651,31.018196394261906,173.86695538267188,6.646787329768809,Aman
Bogra,August,1,61.5244818222024,29.26361634565243,83.5278881830901,34.98636476607256,138.4768155320284,6.276502062052382,Aman
Dhaka,July,2,75.12708883231828,29.099073326431583,82.84660171283024,31.791081032918225,159.95386004575104,5.852283189841153,Aman
Jashore,August,2,56.3310920581083,29.438905328395194,84.33533769405578,32.41242219416148,170.50442569999265,4.306789032512105,Aman
Khulna,August,3,78.00753887776872,29.11984008288536,85.51856050499443,31.154364703037476,169.67019904635902,6.482026217387127,Aman
Khulna,August,3,75.37135516065457,29.117722968840503,85.3329484947668,30.81051952365307,171.25311305762298,6.454954382808369,Aman
Jashore,August,2,56.96079783119853,29.470630813675044,84.19363648627686,32.22259707143756,170.50424234727788,4.205955883171052,Aman
Faridpur,July,4,86.47738137568284,28.989253932035815,85.80130995849476,31.76767391385493,181.21422139652654,5.574658863894581,Aman
Rajshahi,July,1,50.481587707789664,29.97261032481285,81.7501836349731,35.11967249198008,130.0437978697459,6.716577240817821,Aman
Dinajpur,June,4,96.22280923750905,29.228182720836656,82.96467876621317,31.00027873217681,119.19953499128522,3.738975813012065,Aman
Rajshahi,July,1,49.63104095429722,30.082517077050724,81.84416783071349,34.928029026502784,131.78376875717018,6.70682470644906,Aman
Rajshahi,July,1,52.39034142166516,30.012731129996606,81.72588607793617,35.46248894904073,126.07098659980976,6.498181880286182,Aman
Dinajpur,June,4,96.77080907597471,29.225126246553657,83.0923576579601,30.874382802502947,119.93920670545477,3.772280049953222,Aman
Rajshahi,July,1,51.24540247428754,30.07400562614272,81.65465913948947,35.083543704198696,132.30475832406705,6.6945404260742345,Aman
Dinajpur,June,4,93.01917648874216,29.23400687304448,82.97965737498625,30.786985117439833,119.09628345207025,3.5329851654603504,Aman
Bogra,August,1,63.680012348503965,29.303531507393448,83.42730547535312,34.89945392452726,138.02453266818014,6.238858801532691,Aman
Dinajpur,June,4,96.37184817917664,29.19356544848353,83.3627110268703,31.085576877186384,120.04286591622038,3.7920833064917834,Aman
Rajshahi,July,1,50.70548614827192,30.004519311580992,81.81667758792372,34.92841437490219,130.0648644776584,6.881692378081278,Aman
Jashore,August,2,56.60659510448878,29.427133216531686,84.22961068946198,32.145552748733316,169.99701271773776,4.350746953146264,Aman
Dinajpur,June,4,94.00912079322195,29.291373932919818,83.09479102986964,30.86773970379203,120.96780122029857,3.8629406157089368,Aman
Bogra,August,1,66.14932978980907,29.257813576341796,83.55546350474326,34.85282793553432,136.3874087439147,6.2013247096262445,Aman
Dinajpur,June,4,91.8454876567793,29.162971890001295,83.09706315705866,31.063037106142545,121.80468452697873,3.6591955981658155,Aman
Jashore,August,2,57.20697302614609,29.463494900970733,84.02070882409494,32.15112269988234,171.40847980096393,4.330380376215504,Aman
Dhaka,July,2,73.79419960597019,29.139284704743183,82.8751056711585,31.973654597685645,160.2982601061243,5.855228712118293,Aman
Dinajpur,June,4,97.2393909940516,29.180427547222493,83.14247008154194,30.79503537159339,119.64678654588515,3.6535693272211986,Aman
Khulna,August,3,74.98869589570543,29.132919908666913,85.62284533837719,31.053084160920353,170.30699054245633,6.501867470201297,Aman
Faridpur,July,4,84.42945365912615,28.995089206909988,85.41185360084262,31.797144464999807,180.1709888666613,5.668741155219575,Aman
Rajshahi,July,1,51.291087739805086,29.97640072777679,81.72722657089503,35.07044822441792,127.82196450801118,6.767835562109302,Aman
Rajshahi,July,1,50.18664055566689,30.02812830019733,81.7576762316931,34.86158171151869,129.70749538876106,6.534417529953713,Aman
Jashore,August,2,54.87479671088069,29.45983168864128,84.29316581149749,32.692143401957715,169.8814396093518,4.471062884808511,Aman
Faridpur,July,4,86.28627156357409,28.992093560864888,85.61977212990915,31.667294917865352,175.00213106160118,5.7801980031491285,Aman
Faridpur,July,4,83.42404394546308,29.010628501940854,85.37362093661771,31.91018801864682,180.12761290913892,5.456437307430161,Aman
Khulna,August,3,76.45519937063503,29.062385190740503,85.46874420336958,30.80035509078214,172.99112854917917,6.603441821000238,Aman
Rajshahi,July,1,53.213728249870314,29.983842212263937,81.79470295203568,35.22084555664341,128.89747674099775,6.799767043157882,Aman
Rajshahi,July,1,52.68037989831311,29.961118408514007,81.75624096119691,34.89591673951078,130.71978106945497,6.603844866427653,Aman
Dhaka,July,2,73.27132064487073,29.10517754466005,82.89262286569948,31.785912563835662,162.34721039245662,5.94837358897803,Aman
Khulna,August,3,74.88421653643924,29.141635284860353,85.67264356417284,30.938349976626416,167.3808138687561,6.294898823196201,Aman
Faridpur,July,4,82.06180226975799,29.01124587231073,85.41922740290615,31.691020796870177,179.01275410057747,5.638489145748324,Aman
Faridpur,July,4,84.30092264761389,28.996282601533416,85.17069940296291,32.27510159662218,182.74401108137567,5.578778442954638,Aman
Dinajpur,June,4,99.35964140719452,29.19730787689456,83.13281301395237,30.96252048099551,120.85226392044585,3.5939885177140045,Aman
Faridpur,July,4,84.6776318743347,29.01530419986175,85.60756704984894,32.20738720281391,177.55352847889847,5.648221649881719,Aman
Rajshahi,July,1,52.66324848340926,29.988665706218782,81.59800316399274,34.90306465363184,125.4387970718308,6.556992924213253,Aman
Faridpur,July,4,84.26166448349339,28.964384235100376,85.51912449399528,32.005627148989255,180.54062689871375,5.579352163594272,Aman
Bogra,August,1,63.426716861993725,29.291651323350788,83.4417611633578,34.77902319778307,132.9015298080201,6.299451789976811,Aman
Dhaka,July,2,75.97542149679347,29.07893536637407,83.0974239906698,32.16237836260099,161.9652860869553,5.766923086520012,Aman
Faridpur,July,4,85.339917878614,29.00408240960147,85.5671878559489,32.04087828458558,176.6407047293519,5.582777105040151,Aman
Dinajpur,June,4,94.63457400084692,29.234542530653073,83.03306058328404,30.861759498221947,124.62416080979075,3.9033370174678983,Aman
Khulna,August,3,77.44394686581963,29.14780932126955,85.7442845670795,31.25837168332106,166.27488232445924,6.431932767346861,Aman
Dinajpur,June,4,96.49290280139435,29.22809706501386,83.13465375664155,30.876280986251235,122.03040300563676,3.7855987570813463,Aman
Jashore,August,2,56.25850008464657,29.539091707329963,84.66881875944759,32.3965717283087,169.98659744715883,4.487797793804998,Aman
Dhaka,July,2,75.25793655052307,29.1156023881036,83.24705186561384,31.86715699724623,157.65303574159933,6.022698409868772,Aman
Khulna,August,3,76.88816439994669,29.16628221095344,85.48850641321695,31.12406848574405,171.21847216190744,6.315996260650152,Aman
Bogra,August,1,63.84244150060499,29.310554486969753,83.54176491459856,35.157521129012565,137.7809917866267,6.06899768126816,Aman
Khulna,August,3,78.67041763745908,29.07221942007616,85.68679897310297,30.864284368943867,172.3208570593075,6.766871338421499,Aman
Bogra,August,1,63.58031540040619,29.292106846717278,83.43506893543457,35.18995818912914,136.94896024065758,6.033879032915666,Aman
Khulna,August,3,77.72217166043664,29.075224575596174,85.69153111141179,31.158086916441054,170.61038910002256,6.47304305904375,Aman
Jashore,August,2,54.00937361708063,29.550042948695587,84.32774222734133,32.396302451481965,172.03467329939258,4.078389331824776,Aman
Cumilla,May,1,66.70056217886544,28.950963087975666,80.36999371983036,46.58069834346133,181.57339927498487,7.473982467362812,Aush
Khulna,May,1,14.621508356583945,30.00525042372013,73.78389317782806,61.45448148237784,192.76647430995843,7.543647999646398,Aush
Rangpur,April,1,12.586262763288216,26.30110194918543,69.73580097589439,52.278901813441685,147.7285480287908,8.374736490880952,Aush
Jashore,June,1,49.99818791264462,30.782066241207684,78.02231411790426,41.76371622710456,184.2476826279273,4.465018243747781,Aush
Rajshahi,June,1,48.59297474941206,30.376323291218533,78.37642257084006,47.375090395855864,139.44644970002125,6.719259517127861,Aush
Jashore,June,1,49.50200720605019,30.579694764278386,77.92099794464286,41.391814145950214,185.53501339710178,4.437395888898326,Aush
Cumilla,May,1,67.13636767843799,28.730056120920494,79.25951748598071,47.07840454024579,180.9274758947835,7.51115722711576,Aush
Dinajpur,April,1,6.905843192174755,26.607712052262674,63.62322478320923,52.251771857559575,171.73657087731485,5.554476811409629,Aush
Barisal,April,1,19.741391807366135,28.57770561649485,77.97660074899139,52.396745461068015,199.69090725841684,6.875669430981006,Aush
Rangamati,April,1,19.476183767166322,27.808878204850163,70.12826624534304,54.45353336094757,208.99120318083462,6.270683266156466,Aush
Dinajpur,April,1,9.700298115071377,26.570029825263106,63.49032671198213,52.3391406625161,174.2207810032265,5.586431986428559,Aush
Dhaka,May,1,42.38817882670568,28.60636628873901,74.07902615872776,51.58334038274324,156.67454888298028,6.884724442690177,Aush
Khulna,May,1,15.234862853775216,30.299946323904074,73.10958728333507,61.47504054633587,191.73411254294362,7.787267312024238,Aush
Barisal,April,1,16.60428862886155,28.467933253997003,76.67794214599995,53.249287072242566,197.76316521934297,7.009807068207597,Aush
Khulna,May,1,17.045275829729004,29.98176094269736,73.15549132361495,60.84546605540753,193.31374344339383,7.6010151991942285,Aush
Rangamati,April,1,17.840835736251975,27.706799894957744,70.38638722686294,54.094448091576865,199.64400786909832,6.097340543047718,Aush
Cumilla,May,1,66.11440398529713,28.866859569005715,79.49426583287568,46.88006442955339,184.63774502201807,7.460481785849926,Aush
Khulna,May,1,13.855763165381028,29.981723317462446,72.81711868151322,61.17808621567622,189.42899987899096,7.647624748175047,Aush
Rangpur,April,1,10.500553406993925,26.29429182231694,69.71005059570955,51.05528238284033,148.93532937153475,8.37444415666116,Aush
Dinajpur,April,1,8.069662521694738,26.573787686322092,63.71925705009314,51.29771042093786,169.04324134954453,5.698091088236622,Aush
Rangpur,April,1,12.095190647362907,26.398321257424872,69.52948241085724,51.390148604139725,147.38306891219568,8.086846958131508,Aush
Faridpur,April,1,16.489936371056658,28.39638740480157,77.81924841639497,53.620344898915775,203.65180982186362,6.958431201836114,Aush
Jashore,June,1,48.217541527007825,30.555742641169687,77.48253541842453,40.96449382908198,182.67951990690418,4.5895289319207695,Aush
Dhaka,May,1,44.69502971761431,28.66789908545698,75.08659029587554,50.84231482855551,166.06717668294576,6.84493866691357,Aush
Mymensingh,May,1,62.84123910201414,27.828381961951298,79.01167406907662,44.687774061739354,130.56198775251625,6.882678982196338,Aush
Khulna,May,1,13.230626585180755,30.00508374603122,73.04495429483595,61.17079486632925,192.4605254514311,7.5853348362479736,Aush
Dhaka,May,1,46.72969800531372,28.824015999270223,74.9310854102398,50.71641144291143,161.49469379628775,6.870064104183049,Aush
Mymensingh,May,1,59.754550631259235,27.67677433557276,79.5187365955923,44.34635282278834,135.17334257388538,6.899789931824716,Aush
Faridpur,April,1,15.850092589800909,28.40999145705137,77.04913056350273,52.813976415720745,199.71006010019016,7.0124784214055245,Aush
Rajshahi,June,1,47.29992018630441,30.490316318631958,78.54629594296864,48.85308452262353,141.66273133618608,6.540920463052268,Aush
Dinajpur,April,1,4.95433815987187,26.847823538934158,63.23107188445579,51.813306470854464,173.13192736539474,5.531702810770174,Aush
Cumilla,May,1,63.0322431980454,28.87767702048754,79.86984655917347,46.86904733080937,183.73206053697595,7.4829849175834005,Aush
Bogra,May,1,45.043602803758915,28.809920627091593,75.80030753967523,50.245331223143936,126.60850274198599,6.895785769945144,Aush
Barisal,April,1,17.850506735310354,28.293646472003022,77.15258707310855,52.95143463010371,202.4232177648147,6.888209777708821,Aush
Cumilla,May,1,64.47170709287677,28.695740067915345,79.78595373028811,46.3925538843499,184.93241485280132,7.553008769729634,Aush
Rajshahi,June,1,45.36268138087819,30.563347742845547,79.0141021941143,47.401295653405676,137.97678819722475,6.6726021888722045,Aush
Faridpur,April,1,14.556680852921726,28.419730801947527,77.24482284084723,52.92113117238455,202.55253419653107,7.0007664942484755,Aush
Rangpur,April,1,10.820190582700981,26.329955102810533,69.63677452152884,51.68882983532862,146.87125275771658,8.335000031637824,Aush
Cumilla,May,1,68.16003272907867,28.779251719467553,79.52187938832105,46.61460256119865,185.00410875216932,7.386134200382472,Aush
Rajshahi,June,1,46.8590466234793,30.569646810667685,78.32254059198277,47.502736567730196,140.2999802063455,6.725038970873113,Aush
Bogra,May,1,43.197089431977076,28.810408718734735,75.5884287300881,48.793884212302714,128.76247843769926,6.818802486060653,Aush
Dhaka,May,1,44.974440590776645,28.54334892121243,73.64546022023075,51.40740785279245,164.03105316164087,6.805165865933208,Aush
Rangamati,April,1,17.501991924613215,27.866457175736457,70.46132228555484,55.590268853493846,201.59922036282663,6.021588706763214,Aush
Rajshahi,June,1,51.235739103483695,30.365915311471376,78.40705862389086,47.60820705357281,137.08672790897904,6.77142299629595,Aush
Barisal,April,1,17.041093903505846,28.390776494076757,77.20625257882176,52.48808779387225,199.42529622699257,6.955742312831698,Aush
Rajshahi,June,1,49.56139286140681,30.486944801480178,78.76083198065949,48.139373631878456,138.06709978299904,6.672004795599553,Aush
Jashore,June,1,49.21900995252244,30.693629916131396,78.54353059511728,42.57248003502913,184.99922241837857,4.653872349262219,Aush
Barisal,April,1,15.343369183126537,28.599291168170534,76.98197242962112,52.988287207068936,199.61406601056765,6.778482649765582,Aush
Khulna,May,1,18.748186219322147,30.114868894064266,72.42769305018564,61.84358669493716,189.51802366680036,7.602276118207215,Aush
Barisal,April,1,18.498259275694895,28.58629589975525,77.53752886952302,52.96355863864156,197.25600375393734,6.757441079519721,Aush
Dhaka,May,1,45.62697316612591,28.379006603222038,74.37373250428247,50.98999007008076,163.27083971898884,6.937952142780641,Aush
Jashore,June,1,47.85084439231084,30.687025172086823,77.41670805630287,41.14407420651398,182.20683144663346,4.642305005897688,Aush
Faridpur,April,1,13.603314240197324,28.52559764202563,76.93726826773953,52.60383123417783,203.07658796708017,6.960260269285201,Aush
Bogra,May,1,46.5110546386361,28.872536636639097,77.02164206111671,49.04666444669882,123.42355925373495,6.731458658909369,Aush
Rangamati,April,1,22.700026713590912,27.635342255178394,69.73738183947906,54.51492575630185,206.85077471122653,6.180030079809471,Aush
Dhaka,May,1,44.44698848376105,28.524205034416568,74.26113094891997,50.99764757219439,155.65550307524748,6.651849271034178,Aush
Rajshahi,June,1,46.93828998727198,30.478051826554434,78.79665737454091,47.90325683814185,133.375026473578,6.724833127473052,Aush
Rangpur,April,1,11.155473645850162,26.385539031140844,68.81931851781319,52.2285944622423,149.7482825928532,8.276648596696733,Aush
Mymensingh,May,1,64.66950918894739,27.973332031404322,77.91516916335047,44.42037073940705,135.59577606247424,6.862755604059597,Aush
Barisal,April,1,14.387466149926528,28.394204447737735,77.26984295321698,53.545374931496056,198.99745689136202,7.048021983962902,Aush
Rangpur,April,1,13.29878621196641,26.255883216685643,69.0642736190763,51.37227782093676,150.15862163198267,8.386225310666632,Aush
Dhaka,May,1,20.981719756265544,28.999926383370962,68.51652033725544,54.77332533277468,174.14003862509838,6.53769974546505,Aush
Cumilla,May,1,67.699169980148,28.955251079309562,79.27861139971662,45.914549225461315,181.74993273595595,7.576371960702517,Aush
Barisal,April,1,15.490520110455178,28.702022262061387,77.21048185286386,52.59687973526851,197.23815455985385,6.958770739573668,Aush
Dhaka,May,1,22.437760426029037,28.790751403884208,69.13729432720456,53.87082613050198,178.35812367458513,6.358054750325297,Aush
Mymensingh,May,1,65.37752739199455,27.819990566524847,78.46254646113672,44.11773984186789,135.95876822619368,6.654568948700372,Aush
Dhaka,May,1,20.31318910127561,29.003092110602385,69.261350831944,53.515111572937066,173.655764652053,6.666922515626676,Aush
Cumilla,May,1,66.04307126440068,28.933768669901,79.39705048742499,46.343603928899185,185.284365028363,7.506690217678127,Aush
Mymensingh,May,1,59.52652567782248,27.976731483477444,79.69514397563863,44.21483309029736,136.47360681232425,6.683612090798772,Aush
Cumilla,May,1,62.97091511367137,29.088347850595945,80.10792335993641,47.09121278781956,185.30698661367163,7.442341924371416,Aush
Bogra,May,1,42.593761549134385,28.82683494510519,75.64019580421156,49.25689906922212,121.12513939593256,6.7943580363001415,Aush
Rangamati,April,1,18.196941629429308,27.71591851668614,69.54719060515498,54.06635664137984,206.5383724273747,6.1583064789515225,Aush
Dinajpur,April,1,9.734668447199036,26.64016883689824,64.41601784298349,52.220334561363394,170.5553522698885,5.581826429109562,Aush
Faridpur,April,1,17.118546182628585,28.48208556451267,76.59011412991462,52.436190264748305,201.84213948229296,6.9879323709951695,Aush
Barisal,April,1,14.93099978787676,28.583274082436674,77.21510745473482,52.41671191397014,199.58994250173077,6.81024939463857,Aush
Cumilla,May,1,66.4057217729645,28.983440533652338,79.67062217843417,46.582733434146384,180.18103217756132,7.530471627425422,Aush
Dhaka,May,1,44.096559849441064,28.548249992432655,75.0414341667141,50.441859293399226,161.6152338659379,6.811737924528711,Aush
Dinajpur,March,3,1.9163616136169468,25.702704333930456,61.12976094928631,54.96113817782849,192.06589113775024,5.551803117314208,Badam Kharip - 1
Barisal,January,1,1.3739606771207449,18.721332330725804,73.69975541519239,47.6450215333262,207.65577048076722,4.656952198939302,Badam Kharip - 1
Barisal,January,1,1.2119622437954773,18.847750086611967,75.0216250595362,46.58714326977191,209.36340317225358,4.372283008122012,Badam Kharip - 1
Rangpur,March,1,1.2445654698296933,22.979597269007296,64.87405585640262,57.77538933321728,206.83122944527906,7.813747040775544,Badam Kharip - 1
Rangpur,March,1,1.0288946166224948,22.455159435535695,63.9046297919496,57.8086928301222,207.10342520061045,8.004915914829434,Badam Kharip - 1
Rajshahi,February,3,3.805421076051542,24.34621289404247,61.44099808102886,58.60735138084942,219.88595361907906,5.822751505794593,Badam Kharip - 1
Barisal,January,1,1.3593350888959257,18.602017710108527,74.3118155660224,46.30815026007346,209.96897041660384,4.756784469521207,Badam Kharip - 1
Rangpur,March,1,1.1556364013661473,22.829213674693857,65.16439241706281,57.878339829856984,205.85984936284845,7.559322066076342,Badam Kharip - 1
Barisal,January,1,1.2209673148331193,19.135958386213147,74.66523353745417,46.8604815119451,209.8872500295618,4.4326991673973986,Badam Kharip - 1
Barisal,January,1,1.2086736663304873,18.982196051661543,75.05143834928096,46.993536840151485,208.1068709285718,4.345856242049632,Badam Kharip - 1
Faridpur,February,3,3.3907886429475886,20.052992080192933,69.56882150281439,49.743594814736895,205.61376176807164,3.3927309774308214,Badam Kharip - 1
Rajshahi,February,3,4.11060306210314,24.627401294872577,61.97457361910777,58.766011899849,221.47043318588737,5.485790315552769,Badam Kharip - 1
Dinajpur,March,3,2.028555535697848,25.354351624666684,61.45439265813359,54.606851717259765,190.30813955097398,5.455841213573931,Badam Kharip - 1
Rajshahi,February,3,4.062371711737332,24.343608683878255,61.28890273067281,59.055355176322195,221.32112920100852,5.404928233568436,Badam Kharip - 1
Barisal,January,1,1.5160996594669984,18.730831038487548,73.40630230045653,46.760495696294406,209.46457036894583,4.75410125036625,Badam Kharip - 1
Faridpur,February,3,3.346591820460837,19.504128939264348,70.5873908442052,48.983389614635335,205.65658789228155,3.506925333107548,Badam Kharip - 1
Rajshahi,February,3,4.051646163087204,24.58645299977967,62.248682685479224,59.28941942571253,221.51299819866446,5.3258421446752005,Badam Kharip - 1
Barisal,January,1,1.2042862838424824,19.22069359978361,74.56009539142471,47.624883679983924,208.15012840058438,4.59316040908019,Badam Kharip - 1
Dinajpur,March,3,1.9977481198063443,24.93204393074495,60.55522495521905,54.902787377585334,192.37029755284146,5.8064575890166354,Badam Kharip - 1
Barisal,January,1,1.1484030607656963,19.17097993016779,73.44739407777476,46.75962709325302,210.13112755541314,4.9029625528063585,Badam Kharip - 1
Rangpur,March,1,1.1143891221153681,22.757377876747086,64.51400123091555,56.49626252900733,206.89031401605854,7.706181533373647,Badam Kharip - 1
Dinajpur,March,3,2.1623434237286254,25.199968679004648,60.68442801746686,53.829699923038184,194.008494918831,5.564408102598946,Badam Kharip - 1
Faridpur,February,3,3.5729270300400087,19.619781651461302,70.21491310854742,49.30698672535474,205.29389733868246,3.224913898479734,Badam Kharip - 1
Rangpur,March,1,0.897019492746602,23.34344717723108,64.55937935133021,57.66233845388101,209.8676193140416,7.637755536539177,Badam Kharip - 1
Rajshahi,February,3,4.2149611082913525,24.610839265427618,61.225595591246275,58.05918938788435,221.68664204570854,5.154076533701692,Badam Kharip - 1
Barisal,January,1,1.4471496550489287,18.907213637423315,74.5198462110027,46.89588312831127,208.75358941498453,4.43103253629298,Badam Kharip - 1
Barisal,January,1,1.5187433542245432,18.471274327229573,73.44095366081665,48.1863247416665,208.3483881860292,4.460387008356728,Badam Kharip - 1
